COUNTRY	INDUSTRY	YEAR	Nominal Value Added	Real Value Added	Employment	Total Hours	Total Labor Cost	National Currency per US dollar	Consumer Price Index (2010=100)	
CHE	11	2004						0.804	94.601	
CHE	11	2005						0.803	95.710	
CHE	11	2006						0.798	96.724	
CHE	11	2007						0.833	97.432	
CHE	11	2008						0.923	99.796	
CHE	11	2009						0.919	99.316	
CHE	11	2010						0.959	100.000	
CHE	11	2011						1.126	100.231	
CHE	11	2012						1.066	99.537	
CHE	11	2013						1.079	99.321	
CHE	11	2014						1.092	99.308	
CHE	11	2015						1.039	98.172	
CHE	11	2016						1.015	97.745	
CHE	11	2017						1.016	98.267	
CHE	11	2018								
CHE	12	1950						0.229		
CHE	12	1951						0.229		
CHE	12	1952						0.229		
CHE	12	1953						0.229		
CHE	12	1954						0.229	0.000	
CHE	12	1955						0.229	22.630	
CHE	12	1956						0.229	22.973	
CHE	12	1957						0.229	23.424	
CHE	12	1958						0.229	23.855	
CHE	12	1959						0.229	23.700	
CHE	12	1960						0.229	24.041	
CHE	12	1961						0.229	24.485	
CHE	12	1962						0.229	25.542	
CHE	12	1963						0.229	26.420	
CHE	12	1964						0.229	27.234	
CHE	12	1965						0.229	28.164	
CHE	12	1966						0.229	29.509	
CHE	12	1967						0.229	30.691	
CHE	12	1968						0.229	31.426	
CHE	12	1969						0.229	32.209	
CHE	12	1970						0.229	33.373	
CHE	12	1971						0.242	35.567	
CHE	12	1972						0.262	37.936	
CHE	12	1973						0.316	41.257	
CHE	12	1974						0.336	45.287	
CHE	12	1975						0.387	48.319	
CHE	12	1976						0.400	49.148	
CHE	12	1977						0.416	49.785	
CHE	12	1978						0.559	50.297	
CHE	12	1979						0.601	52.132	
CHE	12	1980						0.597	54.229	
CHE	12	1981						0.509	57.749	
CHE	12	1982						0.493	61.014	
CHE	12	1983						0.476	62.814	
CHE	12	1984						0.426	64.656	
CHE	12	1985						0.407	66.877	
CHE	12	1986						0.556	67.379	
CHE	12	1987						0.671	68.349	
CHE	12	1988						0.683	69.629	
CHE	12	1989						0.611	71.826	
CHE	12	1990						0.720	75.707	
CHE	12	1991						0.697	80.143	
CHE	12	1992						0.711	83.379	
CHE	12	1993						0.677	86.124	
CHE	12	1994						0.731	86.858	
CHE	12	1995						0.846	88.421	
CHE	12	1996						0.809	89.139	
CHE	12	1997						0.689	89.603	
CHE	12	1998						0.690	89.619	
CHE	12	1999						0.666	90.341	
CHE	12	2000						0.592	91.749	
CHE	12	2001						0.593	92.657	
CHE	12	2002						0.642	93.252	
CHE	12	2003						0.743	93.848	
CHE	12	2004						0.804	94.601	
CHE	12	2005						0.803	95.710	
CHE	12	2006						0.798	96.724	
CHE	12	2007						0.833	97.432	
CHE	12	2008						0.923	99.796	
CHE	12	2009						0.919	99.316	
CHE	12	2010						0.959	100.000	
CHE	12	2011						1.126	100.231	
CHE	12	2012						1.066	99.537	
CHE	12	2013						1.079	99.321	
CHE	12	2014						1.092	99.308	
CHE	12	2015						1.039	98.172	
CHE	12	2016						1.015	97.745	
CHE	12	2017						1.016	98.267	
CHE	12	2018								
CHE	13-15	1950						0.229		
CHE	13-15	1951						0.229		
CHE	13-15	1952						0.229		
CHE	13-15	1953						0.229		
CHE	13-15	1954						0.229	0.000	
CHE	13-15	1955						0.229	22.630	
CHE	13-15	1956						0.229	22.973	
CHE	13-15	1957						0.229	23.424	
CHE	13-15	1958						0.229	23.855	
CHE	13-15	1959						0.229	23.700	
CHE	13-15	1960						0.229	24.041	
CHE	13-15	1961						0.229	24.485	
CHE	13-15	1962						0.229	25.542	
CHE	13-15	1963						0.229	26.420	
CHE	13-15	1964						0.229	27.234	
CHE	13-15	1965						0.229	28.164	
CHE	13-15	1966						0.229	29.509	
CHE	13-15	1967						0.229	30.691	
CHE	13-15	1968						0.229	31.426	
CHE	13-15	1969						0.229	32.209	
CHE	13-15	1970						0.229	33.373	
CHE	13-15	1971						0.242	35.567	
CHE	13-15	1972						0.262	37.936	
CHE	13-15	1973						0.316	41.257	
CHE	13-15	1974						0.336	45.287	
CHE	13-15	1975						0.387	48.319	
CHE	13-15	1976						0.400	49.148	
CHE	13-15	1977						0.416	49.785	
CHE	13-15	1978						0.559	50.297	
CHE	13-15	1979						0.601	52.132	
CHE	13-15	1980						0.597	54.229	
CHE	13-15	1981						0.509	57.749	
CHE	13-15	1982						0.493	61.014	
CHE	13-15	1983						0.476	62.814	
CHE	13-15	1984						0.426	64.656	
CHE	13-15	1985						0.407	66.877	
CHE	13-15	1986						0.556	67.379	
CHE	13-15	1987						0.671	68.349	
CHE	13-15	1988						0.683	69.629	
CHE	13-15	1989						0.611	71.826	
CHE	13-15	1990						0.720	75.707	
CHE	13-15	1991						0.697	80.143	
CHE	13-15	1992			51			0.711	83.379	
CHE	13-15	1993			46			0.677	86.124	
CHE	13-15	1994			43			0.731	86.858	
CHE	13-15	1995			40			0.846	88.421	
CHE	13-15	1996			36			0.809	89.139	
CHE	13-15	1997	"1,783"	"2,022"	34			0.689	89.603	
CHE	13-15	1998	"1,742"	"1,966"	31			0.690	89.619	
CHE	13-15	1999	"1,507"	"1,707"	28			0.666	90.341	
CHE	13-15	2000	"1,462"	"1,634"	26			0.592	91.749	
CHE	13-15	2001	"1,475"	"1,605"	25			0.593	92.657	
CHE	13-15	2002	"1,324"	"1,452"	23			0.642	93.252	
CHE	13-15	2003	"1,266"	"1,390"	22			0.743	93.848	
CHE	13-15	2004	"1,274"	"1,382"	21			0.804	94.601	
CHE	13-15	2005	"1,246"	"1,352"	20			0.803	95.710	
CHE	13-15	2006	"1,301"	"1,396"	19			0.798	96.724	
CHE	13-15	2007	"1,373"	"1,454"	19			0.833	97.432	
CHE	13-15	2008	"1,449"	"1,486"	19			0.923	99.796	
CHE	13-15	2009	"1,218"	"1,216"	17			0.919	99.316	
CHE	13-15	2010	"1,327"	"1,327"	17			0.959	100.000	
CHE	13-15	2011	"1,328"	"1,313"	18			1.126	100.231	
CHE	13-15	2012	"1,236"	"1,211"	17			1.066	99.537	
CHE	13-15	2013	"1,207"	"1,161"	16			1.079	99.321	
CHE	13-15	2014	"1,220"	"1,167"	16			1.092	99.308	
CHE	13-15	2015	"1,172"	"1,160"	16			1.039	98.172	
CHE	13-15	2016			15			1.015	97.745	
CHE	13-15	2017			15			1.016	98.267	
CHE	13-15	2018								
CHE	13	1950						0.229		
CHE	13	1951						0.229		
CHE	13	1952						0.229		
CHE	13	1953						0.229		
CHE	13	1954						0.229	0.000	
CHE	13	1955						0.229	22.630	
CHE	13	1956						0.229	22.973	
CHE	13	1957						0.229	23.424	
CHE	13	1958						0.229	23.855	
CHE	13	1959						0.229	23.700	
CHE	13	1960						0.229	24.041	
CHE	13	1961						0.229	24.485	
CHE	13	1962						0.229	25.542	
CHE	13	1963						0.229	26.420	
CHE	13	1964						0.229	27.234	
CHE	13	1965						0.229	28.164	
CHE	13	1966						0.229	29.509	
CHE	13	1967						0.229	30.691	
CHE	13	1968						0.229	31.426	
CHE	13	1969						0.229	32.209	
CHE	13	1970						0.229	33.373	
CHE	13	1971						0.242	35.567	
CHE	13	1972						0.262	37.936	
CHE	13	1973						0.316	41.257	
CHE	13	1974						0.336	45.287	
CHE	13	1975						0.387	48.319	
CHE	13	1976						0.400	49.148	
CHE	13	1977						0.416	49.785	
CHE	13	1978						0.559	50.297	
CHE	13	1979						0.601	52.132	
CHE	13	1980						0.597	54.229	
CHE	13	1981						0.509	57.749	
CHE	13	1982						0.493	61.014	
CHE	13	1983						0.476	62.814	
CHE	13	1984						0.426	64.656	
CHE	13	1985						0.407	66.877	
CHE	13	1986						0.556	67.379	
CHE	13	1987						0.671	68.349	
CHE	13	1988						0.683	69.629	
CHE	13	1989						0.611	71.826	
CHE	13	1990						0.720	75.707	
CHE	13	1991						0.697	80.143	
CHE	13	1992						0.711	83.379	
CHE	13	1993						0.677	86.124	
CHE	13	1994						0.731	86.858	
CHE	13	1995						0.846	88.421	
CHE	13	1996						0.809	89.139	
CHE	13	1997						0.689	89.603	
CHE	13	1998						0.690	89.619	
CHE	13	1999						0.666	90.341	
CHE	13	2000						0.592	91.749	
CHE	13	2001						0.593	92.657	
CHE	13	2002						0.642	93.252	
CHE	13	2003						0.743	93.848	
CHE	13	2004						0.804	94.601	
CHE	13	2005						0.803	95.710	
CHE	13	2006						0.798	96.724	
CHE	13	2007						0.833	97.432	
CHE	13	2008						0.923	99.796	
CHE	13	2009						0.919	99.316	
CHE	13	2010						0.959	100.000	
CHE	13	2011						1.126	100.231	
CHE	13	2012						1.066	99.537	
CHE	13	2013						1.079	99.321	
CHE	13	2014						1.092	99.308	
CHE	13	2015						1.039	98.172	
CHE	13	2016						1.015	97.745	
CHE	13	2017						1.016	98.267	
CHE	13	2018								
CHE	14	1950						0.229		
CHE	14	1951						0.229		
CHE	14	1952						0.229		
CHE	14	1953						0.229		
CHE	14	1954						0.229	0.000	
CHE	14	1955						0.229	22.630	
CHE	14	1956						0.229	22.973	
CHE	14	1957						0.229	23.424	
CHE	14	1958						0.229	23.855	
CHE	14	1959						0.229	23.700	
CHE	14	1960						0.229	24.041	
CHE	14	1961						0.229	24.485	
CHE	14	1962						0.229	25.542	
CHE	14	1963						0.229	26.420	
CHE	14	1964						0.229	27.234	
CHE	14	1965						0.229	28.164	
CHE	14	1966						0.229	29.509	
CHE	14	1967						0.229	30.691	
CHE	14	1968						0.229	31.426	
CHE	14	1969						0.229	32.209	
CHE	14	1970						0.229	33.373	
CHE	14	1971						0.242	35.567	
CHE	14	1972						0.262	37.936	
CHE	14	1973						0.316	41.257	
CHE	14	1974						0.336	45.287	
CHE	14	1975						0.387	48.319	
CHE	14	1976						0.400	49.148	
CHE	14	1977						0.416	49.785	
CHE	14	1978						0.559	50.297	
CHE	14	1979						0.601	52.132	
CHE	14	1980						0.597	54.229	
CHE	14	1981						0.509	57.749	
CHE	14	1982						0.493	61.014	
CHE	14	1983						0.476	62.814	
CHE	14	1984						0.426	64.656	
CHE	14	1985						0.407	66.877	
CHE	14	1986						0.556	67.379	
CHE	14	1987						0.671	68.349	
CHE	14	1988						0.683	69.629	
CHE	14	1989						0.611	71.826	
CHE	14	1990						0.720	75.707	
CHE	14	1991						0.697	80.143	
CHE	14	1992						0.711	83.379	
CHE	14	1993						0.677	86.124	
CHE	14	1994						0.731	86.858	
CHE	14	1995						0.846	88.421	
CHE	14	1996						0.809	89.139	
CHE	14	1997						0.689	89.603	
CHE	14	1998						0.690	89.619	
CHE	14	1999						0.666	90.341	
CHE	14	2000						0.592	91.749	
CHE	14	2001						0.593	92.657	
CHE	14	2002						0.642	93.252	
CHE	14	2003						0.743	93.848	
CHE	14	2004						0.804	94.601	
CHE	14	2005						0.803	95.710	
CHE	14	2006						0.798	96.724	
CHE	14	2007						0.833	97.432	
CHE	14	2008						0.923	99.796	
CHE	14	2009						0.919	99.316	
CHE	14	2010						0.959	100.000	
CHE	14	2011						1.126	100.231	
CHE	14	2012						1.066	99.537	
CHE	14	2013						1.079	99.321	
CHE	14	2014						1.092	99.308	
CHE	14	2015						1.039	98.172	
CHE	14	2016						1.015	97.745	
CHE	14	2017						1.016	98.267	
CHE	14	2018								
CHE	15	1950						0.229		
CHE	15	1951						0.229		
CHE	15	1952						0.229		
CHE	15	1953						0.229		
CHE	15	1954						0.229	0.000	
CHE	15	1955						0.229	22.630	
CHE	15	1956						0.229	22.973	
CHE	15	1957						0.229	23.424	
CHE	15	1958						0.229	23.855	
CHE	15	1959						0.229	23.700	
CHE	15	1960						0.229	24.041	
CHE	15	1961						0.229	24.485	
CHE	15	1962						0.229	25.542	
CHE	15	1963						0.229	26.420	
CHE	15	1964						0.229	27.234	
CHE	15	1965						0.229	28.164	
CHE	15	1966						0.229	29.509	
CHE	15	1967						0.229	30.691	
CHE	15	1968						0.229	31.426	
CHE	15	1969						0.229	32.209	
CHE	15	1970						0.229	33.373	
CHE	15	1971						0.242	35.567	
CHE	15	1972						0.262	37.936	
CHE	15	1973						0.316	41.257	
CHE	15	1974						0.336	45.287	
CHE	15	1975						0.387	48.319	
CHE	15	1976						0.400	49.148	
CHE	15	1977						0.416	49.785	
CHE	15	1978						0.559	50.297	
CHE	15	1979						0.601	52.132	
CHE	15	1980						0.597	54.229	
CHE	15	1981						0.509	57.749	
CHE	15	1982						0.493	61.014	
CHE	15	1983						0.476	62.814	
CHE	15	1984						0.426	64.656	
CHE	15	1985						0.407	66.877	
CHE	15	1986						0.556	67.379	
CHE	15	1987						0.671	68.349	
CHE	15	1988						0.683	69.629	
CHE	15	1989						0.611	71.826	
CHE	15	1990						0.720	75.707	
CHE	15	1991						0.697	80.143	
CHE	15	1992						0.711	83.379	
CHE	15	1993						0.677	86.124	
CHE	15	1994						0.731	86.858	
CHE	15	1995						0.846	88.421	
CHE	15	1996						0.809	89.139	
CHE	15	1997						0.689	89.603	
CHE	15	1998						0.690	89.619	
CHE	15	1999						0.666	90.341	
CHE	15	2000						0.592	91.749	
CHE	15	2001						0.593	92.657	
CHE	15	2002						0.642	93.252	
CHE	15	2003						0.743	93.848	
CHE	15	2004						0.804	94.601	
CHE	15	2005						0.803	95.710	
CHE	15	2006						0.798	96.724	
CHE	15	2007						0.833	97.432	
CHE	15	2008						0.923	99.796	
CHE	15	2009						0.919	99.316	
CHE	15	2010						0.959	100.000	
CHE	15	2011						1.126	100.231	
CHE	15	2012						1.066	99.537	
CHE	15	2013						1.079	99.321	
CHE	15	2014						1.092	99.308	
CHE	15	2015						1.039	98.172	
CHE	15	2016						1.015	97.745	
CHE	15	2017						1.016	98.267	
CHE	15	2018								
CHE	16-18	1950						0.229		
CHE	16-18	1951						0.229		
CHE	16-18	1952						0.229		
CHE	16-18	1953						0.229		
CHE	16-18	1954						0.229	0.000	
CHE	16-18	1955						0.229	22.630	
CHE	16-18	1956						0.229	22.973	
CHE	16-18	1957						0.229	23.424	
CHE	16-18	1958						0.229	23.855	
CHE	16-18	1959						0.229	23.700	
CHE	16-18	1960						0.229	24.041	
CHE	16-18	1961						0.229	24.485	
CHE	16-18	1962						0.229	25.542	
CHE	16-18	1963						0.229	26.420	
CHE	16-18	1964						0.229	27.234	
CHE	16-18	1965						0.229	28.164	
CHE	16-18	1966						0.229	29.509	
CHE	16-18	1967						0.229	30.691	
CHE	16-18	1968						0.229	31.426	
CHE	16-18	1969						0.229	32.209	
CHE	16-18	1970						0.229	33.373	
CHE	16-18	1971						0.242	35.567	
CHE	16-18	1972						0.262	37.936	
CHE	16-18	1973						0.316	41.257	
CHE	16-18	1974						0.336	45.287	
CHE	16-18	1975						0.387	48.319	
CHE	16-18	1976						0.400	49.148	
CHE	16-18	1977						0.416	49.785	
CHE	16-18	1978						0.559	50.297	
CHE	16-18	1979						0.601	52.132	
CHE	16-18	1980						0.597	54.229	
CHE	16-18	1981						0.509	57.749	
CHE	16-18	1982						0.493	61.014	
CHE	16-18	1983						0.476	62.814	
CHE	16-18	1984						0.426	64.656	
CHE	16-18	1985						0.407	66.877	
CHE	16-18	1986						0.556	67.379	
CHE	16-18	1987						0.671	68.349	
CHE	16-18	1988						0.683	69.629	
CHE	16-18	1989						0.611	71.826	
CHE	16-18	1990						0.720	75.707	
CHE	16-18	1991						0.697	80.143	
CHE	16-18	1992			108			0.711	83.379	
CHE	16-18	1993			102			0.677	86.124	
CHE	16-18	1994			99			0.731	86.858	
CHE	16-18	1995			98			0.846	88.421	
CHE	16-18	1996			95			0.809	89.139	
CHE	16-18	1997	"6,908"	"7,000"	92			0.689	89.603	
CHE	16-18	1998	"6,668"	"6,997"	89			0.690	89.619	
CHE	16-18	1999	"6,595"	"7,001"	85			0.666	90.341	
CHE	16-18	2000	"6,667"	"6,920"	84			0.592	91.749	
CHE	16-18	2001	"6,936"	"7,067"	85			0.593	92.657	
CHE	16-18	2002	"6,928"	"7,155"	82			0.642	93.252	
CHE	16-18	2003	"6,831"	"7,149"	79			0.743	93.848	
CHE	16-18	2004	"6,783"	"7,127"	78			0.804	94.601	
CHE	16-18	2005	"6,805"	"7,083"	77			0.803	95.710	
CHE	16-18	2006	"6,855"	"7,066"	77			0.798	96.724	
CHE	16-18	2007	"7,235"	"7,225"	77			0.833	97.432	
CHE	16-18	2008	"7,372"	"7,041"	76			0.923	99.796	
CHE	16-18	2009	"6,867"	"6,693"	74			0.919	99.316	
CHE	16-18	2010	"6,877"	"6,877"	72			0.959	100.000	
CHE	16-18	2011	"6,731"	"6,718"	72			1.126	100.231	
CHE	16-18	2012	"6,310"	"6,454"	71			1.066	99.537	
CHE	16-18	2013	"6,107"	"6,301"	69			1.079	99.321	
CHE	16-18	2014	"6,064"	"6,342"	68			1.092	99.308	
CHE	16-18	2015	"5,729"	"6,241"	68			1.039	98.172	
CHE	16-18	2016			68			1.015	97.745	
CHE	16-18	2017			67			1.016	98.267	
CHE	16-18	2018								
CHE	16	1950						0.229		
CHE	16	1951						0.229		
CHE	16	1952						0.229		
CHE	16	1953						0.229		
CHE	16	1954						0.229	0.000	
CHE	16	1955						0.229	22.630	
CHE	16	1956						0.229	22.973	
CHE	16	1957						0.229	23.424	
CHE	16	1958						0.229	23.855	
CHE	16	1959						0.229	23.700	
CHE	16	1960						0.229	24.041	
CHE	16	1961						0.229	24.485	
CHE	16	1962						0.229	25.542	
CHE	16	1963						0.229	26.420	
CHE	16	1964						0.229	27.234	
CHE	16	1965						0.229	28.164	
CHE	16	1966						0.229	29.509	
CHE	16	1967						0.229	30.691	
CHE	16	1968						0.229	31.426	
CHE	16	1969						0.229	32.209	
CHE	16	1970						0.229	33.373	
CHE	16	1971						0.242	35.567	
CHE	16	1972						0.262	37.936	
CHE	16	1973						0.316	41.257	
CHE	16	1974						0.336	45.287	
CHE	16	1975						0.387	48.319	
CHE	16	1976						0.400	49.148	
CHE	16	1977						0.416	49.785	
CHE	16	1978						0.559	50.297	
CHE	16	1979						0.601	52.132	
CHE	16	1980						0.597	54.229	
CHE	16	1981						0.509	57.749	
CHE	16	1982						0.493	61.014	
CHE	16	1983						0.476	62.814	
CHE	16	1984						0.426	64.656	
CHE	16	1985						0.407	66.877	
CHE	16	1986						0.556	67.379	
CHE	16	1987						0.671	68.349	
CHE	16	1988						0.683	69.629	
CHE	16	1989						0.611	71.826	
CHE	16	1990						0.720	75.707	
CHE	16	1991						0.697	80.143	
CHE	16	1992						0.711	83.379	
CHE	16	1993						0.677	86.124	
CHE	16	1994						0.731	86.858	
CHE	16	1995						0.846	88.421	
CHE	16	1996						0.809	89.139	
CHE	16	1997	"2,526"	"2,923"				0.689	89.603	
CHE	16	1998	"2,428"	"2,833"				0.690	89.619	
CHE	16	1999	"2,427"	"2,825"				0.666	90.341	
CHE	16	2000	"2,425"	"2,799"				0.592	91.749	
CHE	16	2001	"2,529"	"2,842"				0.593	92.657	
CHE	16	2002	"2,603"	"2,955"				0.642	93.252	
CHE	16	2003	"2,633"	"2,993"				0.743	93.848	
CHE	16	2004	"2,747"	"3,122"				0.804	94.601	
CHE	16	2005	"2,830"	"3,172"				0.803	95.710	
CHE	16	2006	"2,961"	"3,269"				0.798	96.724	
CHE	16	2007	"3,212"	"3,394"				0.833	97.432	
CHE	16	2008	"3,286"	"3,255"				0.923	99.796	
CHE	16	2009	"3,216"	"3,168"				0.919	99.316	
CHE	16	2010	"3,222"	"3,222"				0.959	100.000	
CHE	16	2011	"3,272"	"3,242"				1.126	100.231	
CHE	16	2012	"3,093"	"3,010"				1.066	99.537	
CHE	16	2013	"3,099"	"3,034"				1.079	99.321	
CHE	16	2014	"3,131"	"3,044"				1.092	99.308	
CHE	16	2015	"3,106"	"3,042"				1.039	98.172	
CHE	16	2016						1.015	97.745	
CHE	16	2017						1.016	98.267	
CHE	16	2018								
CHE	17	1950						0.229		
CHE	17	1951						0.229		
CHE	17	1952						0.229		
CHE	17	1953						0.229		
CHE	17	1954						0.229	0.000	
CHE	17	1955						0.229	22.630	
CHE	17	1956						0.229	22.973	
CHE	17	1957						0.229	23.424	
CHE	17	1958						0.229	23.855	
CHE	17	1959						0.229	23.700	
CHE	17	1960						0.229	24.041	
CHE	17	1961						0.229	24.485	
CHE	17	1962						0.229	25.542	
CHE	17	1963						0.229	26.420	
CHE	17	1964						0.229	27.234	
CHE	17	1965						0.229	28.164	
CHE	17	1966						0.229	29.509	
CHE	17	1967						0.229	30.691	
CHE	17	1968						0.229	31.426	
CHE	17	1969						0.229	32.209	
CHE	17	1970						0.229	33.373	
CHE	17	1971						0.242	35.567	
CHE	17	1972						0.262	37.936	
CHE	17	1973						0.316	41.257	
CHE	17	1974						0.336	45.287	
CHE	17	1975						0.387	48.319	
CHE	17	1976						0.400	49.148	
CHE	17	1977						0.416	49.785	
CHE	17	1978						0.559	50.297	
CHE	17	1979						0.601	52.132	
CHE	17	1980						0.597	54.229	
CHE	17	1981						0.509	57.749	
CHE	17	1982						0.493	61.014	
CHE	17	1983						0.476	62.814	
CHE	17	1984						0.426	64.656	
CHE	17	1985						0.407	66.877	
CHE	17	1986						0.556	67.379	
CHE	17	1987						0.671	68.349	
CHE	17	1988						0.683	69.629	
CHE	17	1989						0.611	71.826	
CHE	17	1990						0.720	75.707	
CHE	17	1991						0.697	80.143	
CHE	17	1992						0.711	83.379	
CHE	17	1993						0.677	86.124	
CHE	17	1994						0.731	86.858	
CHE	17	1995						0.846	88.421	
CHE	17	1996						0.809	89.139	
CHE	17	1997	"1,378"	"1,364"				0.689	89.603	
CHE	17	1998	"1,425"	"1,414"				0.690	89.619	
CHE	17	1999	"1,400"	"1,407"				0.666	90.341	
CHE	17	2000	"1,421"	"1,361"				0.592	91.749	
CHE	17	2001	"1,465"	"1,365"				0.593	92.657	
CHE	17	2002	"1,495"	"1,429"				0.642	93.252	
CHE	17	2003	"1,442"	"1,417"				0.743	93.848	
CHE	17	2004	"1,379"	"1,375"				0.804	94.601	
CHE	17	2005	"1,347"	"1,337"				0.803	95.710	
CHE	17	2006	"1,304"	"1,272"				0.798	96.724	
CHE	17	2007	"1,417"	"1,290"				0.833	97.432	
CHE	17	2008	"1,476"	"1,233"				0.923	99.796	
CHE	17	2009	"1,301"	"1,231"				0.919	99.316	
CHE	17	2010	"1,273"	"1,273"				0.959	100.000	
CHE	17	2011	"1,240"	"1,201"				1.126	100.231	
CHE	17	2012	"1,118"	"1,183"				1.066	99.537	
CHE	17	2013	"1,077"	"1,174"				1.079	99.321	
CHE	17	2014	"1,054"	"1,139"				1.092	99.308	
CHE	17	2015	857	"1,103"				1.039	98.172	
CHE	17	2016						1.015	97.745	
CHE	17	2017						1.016	98.267	
CHE	17	2018								
CHE	18	1950						0.229		
CHE	18	1951						0.229		
CHE	18	1952						0.229		
CHE	18	1953						0.229		
CHE	18	1954						0.229	0.000	
CHE	18	1955						0.229	22.630	
CHE	18	1956						0.229	22.973	
CHE	18	1957						0.229	23.424	
CHE	18	1958						0.229	23.855	
CHE	18	1959						0.229	23.700	
CHE	18	1960						0.229	24.041	
CHE	18	1961						0.229	24.485	
CHE	18	1962						0.229	25.542	
CHE	18	1963						0.229	26.420	
CHE	18	1964						0.229	27.234	
CHE	18	1965						0.229	28.164	
CHE	18	1966						0.229	29.509	
CHE	18	1967						0.229	30.691	
CHE	18	1968						0.229	31.426	
CHE	18	1969						0.229	32.209	
CHE	18	1970						0.229	33.373	
CHE	18	1971						0.242	35.567	
CHE	18	1972						0.262	37.936	
CHE	18	1973						0.316	41.257	
CHE	18	1974						0.336	45.287	
CHE	18	1975						0.387	48.319	
CHE	18	1976						0.400	49.148	
CHE	18	1977						0.416	49.785	
CHE	18	1978						0.559	50.297	
CHE	18	1979						0.601	52.132	
CHE	18	1980						0.597	54.229	
CHE	18	1981						0.509	57.749	
CHE	18	1982						0.493	61.014	
CHE	18	1983						0.476	62.814	
CHE	18	1984						0.426	64.656	
CHE	18	1985						0.407	66.877	
CHE	18	1986						0.556	67.379	
CHE	18	1987						0.671	68.349	
CHE	18	1988						0.683	69.629	
CHE	18	1989						0.611	71.826	
CHE	18	1990						0.720	75.707	
CHE	18	1991						0.697	80.143	
CHE	18	1992						0.711	83.379	
CHE	18	1993						0.677	86.124	
CHE	18	1994						0.731	86.858	
CHE	18	1995						0.846	88.421	
CHE	18	1996						0.809	89.139	
CHE	18	1997	"3,004"	"2,684"				0.689	89.603	
CHE	18	1998	"2,815"	"2,705"				0.690	89.619	
CHE	18	1999	"2,768"	"2,722"				0.666	90.341	
CHE	18	2000	"2,821"	"2,714"				0.592	91.749	
CHE	18	2001	"2,942"	"2,810"				0.593	92.657	
CHE	18	2002	"2,829"	"2,733"				0.642	93.252	
CHE	18	2003	"2,756"	"2,705"				0.743	93.848	
CHE	18	2004	"2,656"	"2,616"				0.804	94.601	
CHE	18	2005	"2,629"	"2,568"				0.803	95.710	
CHE	18	2006	"2,590"	"2,533"				0.798	96.724	
CHE	18	2007	"2,606"	"2,553"				0.833	97.432	
CHE	18	2008	"2,611"	"2,564"				0.923	99.796	
CHE	18	2009	"2,350"	"2,294"				0.919	99.316	
CHE	18	2010	"2,382"	"2,382"				0.959	100.000	
CHE	18	2011	"2,219"	"2,275"				1.126	100.231	
CHE	18	2012	"2,100"	"2,264"				1.066	99.537	
CHE	18	2013	"1,931"	"2,085"				1.079	99.321	
CHE	18	2014	"1,880"	"2,152"				1.092	99.308	
CHE	18	2015	"1,766"	"2,081"				1.039	98.172	
CHE	18	2016						1.015	97.745	
CHE	18	2017						1.016	98.267	
CHE	18	2018								
CHE	19	1950						0.229		
CHE	19	1951						0.229		
CHE	19	1952						0.229		
CHE	19	1953						0.229		
CHE	19	1954						0.229	0.000	
CHE	19	1955						0.229	22.630	
CHE	19	1956						0.229	22.973	
CHE	19	1957						0.229	23.424	
CHE	19	1958						0.229	23.855	
CHE	19	1959						0.229	23.700	
CHE	19	1960						0.229	24.041	
CHE	19	1961						0.229	24.485	
CHE	19	1962						0.229	25.542	
CHE	19	1963						0.229	26.420	
CHE	19	1964						0.229	27.234	
CHE	19	1965						0.229	28.164	
CHE	19	1966						0.229	29.509	
CHE	19	1967						0.229	30.691	
CHE	19	1968						0.229	31.426	
CHE	19	1969						0.229	32.209	
CHE	19	1970						0.229	33.373	
CHE	19	1971						0.242	35.567	
CHE	19	1972						0.262	37.936	
CHE	19	1973						0.316	41.257	
CHE	19	1974						0.336	45.287	
CHE	19	1975						0.387	48.319	
CHE	19	1976						0.400	49.148	
CHE	19	1977						0.416	49.785	
CHE	19	1978						0.559	50.297	
CHE	19	1979						0.601	52.132	
CHE	19	1980						0.597	54.229	
CHE	19	1981						0.509	57.749	
CHE	19	1982						0.493	61.014	
CHE	19	1983						0.476	62.814	
CHE	19	1984						0.426	64.656	
CHE	19	1985						0.407	66.877	
CHE	19	1986						0.556	67.379	
CHE	19	1987						0.671	68.349	
CHE	19	1988						0.683	69.629	
CHE	19	1989						0.611	71.826	
CHE	19	1990						0.720	75.707	
CHE	19	1991						0.697	80.143	
CHE	19	1992						0.711	83.379	
CHE	19	1993						0.677	86.124	
CHE	19	1994						0.731	86.858	
CHE	19	1995						0.846	88.421	
CHE	19	1996						0.809	89.139	
CHE	19	1997						0.689	89.603	
CHE	19	1998						0.690	89.619	
CHE	19	1999						0.666	90.341	
CHE	19	2000						0.592	91.749	
CHE	19	2001						0.593	92.657	
CHE	19	2002						0.642	93.252	
CHE	19	2003						0.743	93.848	
CHE	19	2004						0.804	94.601	
CHE	19	2005						0.803	95.710	
CHE	19	2006						0.798	96.724	
CHE	19	2007						0.833	97.432	
CHE	19	2008						0.923	99.796	
CHE	19	2009						0.919	99.316	
CHE	19	2010						0.959	100.000	
CHE	19	2011						1.126	100.231	
CHE	19	2012						1.066	99.537	
CHE	19	2013						1.079	99.321	
CHE	19	2014						1.092	99.308	
CHE	19	2015						1.039	98.172	
