			"IFERROR(INDEX('A00 VaN'!$I$5:$BY$1439,MATCH($A4&$B4,'A00 VaN'!$CA$5:$CA$1439,0),MATCH($C4,'A00 VaN'!$I$4:$BY$4,0)),"""")"	"IFERROR(INDEX('A00 VaR'!$I$5:$BY$1439,MATCH($A4&$B4,'A00 VaR'!$CA$5:$CA$1439,0),MATCH($C4,'A00 VaR'!$I$4:$BY$4,0)),"""")"	"IFERROR(INDEX('A00 EmA'!$I$5:$BY$1439,MATCH($A4&$B4,'A00 EmA'!$CA$5:$CA$1439,0),MATCH($C4,'A00 EmA'!$I$4:$BY$4,0)),"""")"	"IFERROR(INDEX('A00 HrA'!$I$5:$BY$1439,MATCH($A4&$B4,'A00 HrA'!$CA$5:$CA$1439,0),MATCH($C4,'A00 HrA'!$I$4:$BY$4,0)),"""")"	"IFERROR(INDEX('A00 CmA'!$I$5:$BY$1439,MATCH($A4&$B4,'A00 CmA'!$CA$5:$CA$1439,0),MATCH($C4,'A00 CmA'!$I$4:$BY$4,0)),"""")"	"IFERROR(INDEX('A00 XR'!$C$5:$BS$45,MATCH($A4,'A00 XR'!$A$5:$A$45,0),MATCH($C4,'A00 XR'!$C$4:$BS$4,0)),"""")"	"IFERROR(INDEX('A00 CPI'!$C$5:$BS$45,MATCH($A4,'A00 CPI'!$A$5:$A$45,0),MATCH($C4,'A00 CPI'!$C$4:$BS$4,0)),"""")"
DEU	21	1955						0.466	22.484
DEU	21	1956						0.466	23.073
DEU	21	1957						0.466	23.556
DEU	21	1958						0.466	24.057
DEU	21	1959						0.466	24.273
DEU	21	1960						0.466	24.646
DEU	21	1961						0.486	25.211
DEU	21	1962						0.490	25.928
DEU	21	1963						0.490	26.697
DEU	21	1964						0.490	27.321
DEU	21	1965						0.490	28.207
DEU	21	1966						0.490	29.203
DEU	21	1967						0.490	29.728
DEU	21	1968						0.490	30.165
DEU	21	1969						0.497	30.742
DEU	21	1970						0.535	31.803
DEU	21	1971						0.558	33.469
DEU	21	1972						0.614	35.305
DEU	21	1973						0.733	37.788
DEU	21	1974						0.757	40.428
DEU	21	1975						0.796	42.817
DEU	21	1976						0.778	44.636
DEU	21	1977						0.844	46.302
DEU	21	1978						0.975	47.561
DEU	21	1979						1.069	49.484
DEU	21	1980						1.078	52.177
DEU	21	1981						0.869	55.487
DEU	21	1982						0.807	58.395
DEU	21	1983						0.768	60.318
DEU	21	1984						0.689	61.770
DEU	21	1985						0.670	63.046
DEU	21	1986						0.904	62.964
DEU	21	1987						1.090	63.122
DEU	21	1988						1.116	63.926
DEU	21	1989						1.042	65.703
DEU	21	1990						1.213	67.475
DEU	21	1991	"9,689"	"11,376"	157	236	"5,256"	1.183	70.206
DEU	21	1992	"9,676"	"11,130"	146	227	"5,589"	1.255	73.756
DEU	21	1993	"9,148"	"10,551"	134	205	"5,393"	1.184	77.056
DEU	21	1994	"9,510"	"11,262"	127	194	"5,319"	1.208	79.132
DEU	21	1995	"10,504"	"12,620"	123	187	"5,471"	1.366	80.482
DEU	21	1996	"10,798"	"12,195"	119	181	"5,295"	1.300	81.648
DEU	21	1997	"11,084"	"12,659"	115	175	"5,119"	1.129	83.232
DEU	21	1998	"11,115"	"12,323"	111	169	"5,180"	1.113	83.990
DEU	21	1999	"11,867"	"12,725"	110	168	"5,082"	1.067	84.482
DEU	21	2000	"12,461"	"13,587"	110	165	"5,719"	0.924	85.699
DEU	21	2001	"13,139"	"14,078"	108	161	"5,419"	0.895	87.399
DEU	21	2002	"13,275"	"13,946"	110	163	"5,540"	0.944	88.641
DEU	21	2003	"14,875"	"15,957"	111	166	"5,750"	1.131	89.557
DEU	21	2004	"15,804"	"17,436"	113	170	"5,966"	1.243	91.049
DEU	21	2005	"17,737"	"20,284"	112	167	"6,096"	1.246	92.458
DEU	21	2006	"18,768"	"21,160"	114	172	"6,435"	1.256	93.916
DEU	21	2007	"19,714"	"22,307"	116	173	"6,571"	1.371	96.075
DEU	21	2008	"21,383"	"23,889"	118	174	"6,676"	1.472	98.600
DEU	21	2009	"20,525"	"21,784"	119	166	"7,007"	1.393	98.908
DEU	21	2010	"20,537"	"21,779"	118	171	"7,140"	1.327	100.000
DEU	21	2011	"21,290"	"23,265"	119	173	"7,262"	1.391	102.075
DEU	21	2012	"22,105"	"23,825"	122	174	"7,759"	1.286	104.125
DEU	21	2013	"22,258"	"23,871"	125	181	"8,127"	1.328	105.692
DEU	21	2014	"23,605"	"24,367"	128	186	"8,504"	1.329	106.651
DEU	21	2015	"22,858"	"22,858"	131	191	"8,909"	1.110	107.199
DEU	21	2016	"25,742"	"25,279"	133	196	"9,385"	1.107	107.726
DEU	21	2017	"22,186"	"21,777"	127	185	"9,094"	1.129	109.352
DEU	21	2018	"26,168"	"25,490"	141	186	"9,205"	1.181	111.247
DEU	22-23	1950						0.467	20.468
DEU	22-23	1951						0.467	22.019
DEU	22-23	1952						0.467	22.484
DEU	22-23	1953						0.466	22.096
DEU	22-23	1954						0.466	22.174
DEU	22-23	1955						0.466	22.484
DEU	22-23	1956						0.466	23.073
DEU	22-23	1957						0.466	23.556
DEU	22-23	1958						0.466	24.057
DEU	22-23	1959						0.466	24.273
DEU	22-23	1960						0.466	24.646
DEU	22-23	1961						0.486	25.211
DEU	22-23	1962						0.490	25.928
DEU	22-23	1963						0.490	26.697
DEU	22-23	1964						0.490	27.321
DEU	22-23	1965						0.490	28.207
DEU	22-23	1966						0.490	29.203
DEU	22-23	1967						0.490	29.728
DEU	22-23	1968						0.490	30.165
DEU	22-23	1969						0.497	30.742
DEU	22-23	1970	"10,312"	"20,782"	861	"1,600"	"6,474"	0.535	31.803
DEU	22-23	1971	"11,544"	"21,732"	871	"1,598"	"7,147"	0.558	33.469
DEU	22-23	1972	"12,432"	"22,999"	867	"1,573"	"7,804"	0.614	35.305
DEU	22-23	1973	"13,454"	"24,368"	887	"1,591"	"8,796"	0.733	37.788
DEU	22-23	1974	"13,497"	"23,109"	856	"1,485"	"9,187"	0.757	40.428
DEU	22-23	1975	"12,972"	"21,634"	773	"1,311"	"8,858"	0.796	42.817
DEU	22-23	1976	"14,454"	"23,738"	769	"1,373"	"9,836"	0.778	44.636
DEU	22-23	1977	"14,973"	"23,655"	762	"1,340"	"10,477"	0.844	46.302
DEU	22-23	1978	"15,640"	"24,111"	755	"1,306"	"11,068"	0.975	47.561
DEU	22-23	1979	"17,336"	"26,147"	775	"1,329"	"12,218"	1.069	49.484
DEU	22-23	1980	"18,789"	"26,264"	795	"1,341"	"13,489"	1.078	52.177
DEU	22-23	1981	"18,418"	"24,994"	780	"1,294"	"13,795"	0.869	55.487
DEU	22-23	1982	"18,747"	"24,373"	752	"1,250"	"13,910"	0.807	58.395
DEU	22-23	1983	"19,822"	"25,219"	738	"1,231"	"14,356"	0.768	60.318
DEU	22-23	1984	"20,749"	"26,388"	745	"1,234"	"14,971"	0.689	61.770
DEU	22-23	1985	"21,326"	"26,413"	742	"1,202"	"15,312"	0.670	63.046
DEU	22-23	1986	"23,870"	"27,556"	748	"1,203"	"16,096"	0.904	62.964
DEU	22-23	1987	"24,447"	"27,816"	762	"1,225"	"17,068"	1.090	63.122
DEU	22-23	1988	"25,938"	"29,199"	779	"1,238"	"18,091"	1.116	63.926
DEU	22-23	1989	"27,612"	"30,844"	800	"1,247"	"19,005"	1.042	65.703
DEU	22-23	1990	"30,029"	"32,250"	832	"1,262"	"20,761"	1.213	67.475
DEU	22-23	1991	"32,461"	"33,657"	853	"1,287"	"22,132"	1.183	70.206
DEU	22-23	1992	"34,086"	"33,938"	818	"1,277"	"23,874"	1.255	73.756
DEU	22-23	1993	"34,272"	"33,827"	780	"1,188"	"23,899"	1.184	77.056
DEU	22-23	1994	"35,553"	"35,480"	763	"1,169"	"24,433"	1.208	79.132
DEU	22-23	1995	"37,065"	"36,602"	768	"1,183"	"25,224"	1.366	80.482
DEU	22-23	1996	"36,013"	"34,913"	737	"1,129"	"24,774"	1.300	81.648
DEU	22-23	1997	"35,669"	"35,512"	722	"1,101"	"24,658"	1.129	83.232
DEU	22-23	1998	"36,285"	"36,124"	729	"1,121"	"25,386"	1.113	83.990
DEU	22-23	1999	"36,895"	"36,531"	727	"1,118"	"25,373"	1.067	84.482
DEU	22-23	2000	"36,677"	"37,738"	735	"1,118"	"26,413"	0.924	85.699
DEU	22-23	2001	"35,541"	"36,584"	727	"1,100"	"26,638"	0.895	87.399
DEU	22-23	2002	"35,138"	"36,343"	702	"1,059"	"25,561"	0.944	88.641
DEU	22-23	2003	"34,242"	"35,968"	669	"1,011"	"24,789"	1.131	89.557
DEU	22-23	2004	"35,607"	"37,966"	664	"1,022"	"25,024"	1.243	91.049
DEU	22-23	2005	"35,234"	"38,346"	647	986	"24,666"	1.246	92.458
DEU	22-23	2006	"37,312"	"41,944"	643	990	"24,752"	1.256	93.916
DEU	22-23	2007	"38,785"	"43,061"	651	"1,003"	"25,108"	1.371	96.075
DEU	22-23	2008	"38,415"	"43,209"	674	"1,035"	"26,973"	1.472	98.600
DEU	22-23	2009	"33,791"	"34,971"	647	934	"25,249"	1.393	98.908
DEU	22-23	2010	"37,091"	"40,035"	637	959	"26,250"	1.327	100.000
DEU	22-23	2011	"39,895"	"44,527"	654	995	"27,371"	1.391	102.075
DEU	22-23	2012	"40,231"	"43,432"	665	993	"28,181"	1.286	104.125
DEU	22-23	2013	"41,448"	"43,513"	667	"1,000"	"28,868"	1.328	105.692
DEU	22-23	2014	"43,356"	"44,934"	676	"1,026"	"29,864"	1.329	106.651
DEU	22-23	2015	"44,697"	"44,697"	681	"1,040"	"30,785"	1.110	107.199
DEU	22-23	2016	"47,688"	"46,378"	679	"1,035"	"31,440"	1.107	107.726
DEU	22-23	2017	"47,528"	"48,040"	685	"1,037"	"32,230"	1.129	109.352
DEU	22-23	2018	"48,018"	"48,168"	702	"1,055"	"33,215"	1.181	111.247
DEU	22	1950						0.467	20.468
DEU	22	1951						0.467	22.019
DEU	22	1952						0.467	22.484
DEU	22	1953						0.466	22.096
DEU	22	1954						0.466	22.174
DEU	22	1955						0.466	22.484
DEU	22	1956						0.466	23.073
DEU	22	1957						0.466	23.556
DEU	22	1958						0.466	24.057
DEU	22	1959						0.466	24.273
DEU	22	1960						0.466	24.646
DEU	22	1961						0.486	25.211
DEU	22	1962						0.490	25.928
DEU	22	1963						0.490	26.697
DEU	22	1964						0.490	27.321
DEU	22	1965						0.490	28.207
DEU	22	1966						0.490	29.203
DEU	22	1967						0.490	29.728
DEU	22	1968						0.490	30.165
DEU	22	1969						0.497	30.742
DEU	22	1970						0.535	31.803
DEU	22	1971						0.558	33.469
DEU	22	1972						0.614	35.305
DEU	22	1973						0.733	37.788
DEU	22	1974						0.757	40.428
DEU	22	1975						0.796	42.817
DEU	22	1976						0.778	44.636
DEU	22	1977						0.844	46.302
DEU	22	1978						0.975	47.561
DEU	22	1979						1.069	49.484
DEU	22	1980						1.078	52.177
DEU	22	1981						0.869	55.487
DEU	22	1982						0.807	58.395
DEU	22	1983						0.768	60.318
DEU	22	1984						0.689	61.770
DEU	22	1985						0.670	63.046
DEU	22	1986						0.904	62.964
DEU	22	1987						1.090	63.122
DEU	22	1988						1.116	63.926
DEU	22	1989						1.042	65.703
DEU	22	1990						1.213	67.475
DEU	22	1991	"17,707"	"17,564"	460	694	"12,420"	1.183	70.206
DEU	22	1992	"18,398"	"17,564"	450	703	"13,329"	1.255	73.756
DEU	22	1993	"17,903"	"17,079"	423	644	"12,962"	1.184	77.056
DEU	22	1994	"17,791"	"17,452"	411	630	"13,142"	1.208	79.132
DEU	22	1995	"18,858"	"18,507"	417	642	"13,762"	1.366	80.482
DEU	22	1996	"18,955"	"17,977"	405	620	"13,622"	1.300	81.648
DEU	22	1997	"19,347"	"18,897"	408	622	"13,935"	1.129	83.232
DEU	22	1998	"19,899"	"19,297"	419	644	"14,571"	1.113	83.990
DEU	22	1999	"20,116"	"19,328"	416	640	"14,431"	1.067	84.482
DEU	22	2000	"20,162"	"20,277"	426	648	"15,223"	0.924	85.699
DEU	22	2001	"20,300"	"20,026"	430	651	"15,727"	0.895	87.399
DEU	22	2002	"20,791"	"20,424"	420	634	"15,229"	0.944	88.641
DEU	22	2003	"20,606"	"20,124"	404	611	"14,911"	1.131	89.557
DEU	22	2004	"21,628"	"21,809"	407	626	"15,271"	1.243	91.049
DEU	22	2005	"21,717"	"22,425"	398	607	"15,016"	1.246	92.458
DEU	22	2006	"22,761"	"24,604"	395	608	"15,115"	1.256	93.916
DEU	22	2007	"23,329"	"25,563"	402	619	"15,640"	1.371	96.075
DEU	22	2008	"23,567"	"26,187"	419	643	"16,717"	1.472	98.600
DEU	22	2009	"20,726"	"21,014"	399	576	"15,526"	1.393	98.908
DEU	22	2010	"23,073"	"24,742"	397	598	"16,475"	1.327	100.000
DEU	22	2011	"24,836"	"27,706"	411	625	"17,177"	1.391	102.075
DEU	22	2012	"24,950"	"26,839"	420	627	"17,717"	1.286	104.125
DEU	22	2013	"25,769"	"26,944"	422	633	"18,231"	1.328	105.692
DEU	22	2014	"26,612"	"27,469"	430	653	"18,965"	1.329	106.651
DEU	22	2015	"28,225"	"28,225"	436	666	"19,656"	1.110	107.199
DEU	22	2016	"29,918"	"29,233"	437	666	"20,189"	1.107	107.726
DEU	22	2017	"29,815"	"30,751"	442	669	"20,801"	1.129	109.352
DEU	22	2018	"30,101"	"30,809"	453	680	"21,319"	1.181	111.247
DEU	23	1950						0.467	20.468
DEU	23	1951						0.467	22.019
DEU	23	1952						0.467	22.484
DEU	23	1953						0.466	22.096
DEU	23	1954						0.466	22.174
DEU	23	1955						0.466	22.484
DEU	23	1956						0.466	23.073
DEU	23	1957						0.466	23.556
DEU	23	1958						0.466	24.057
DEU	23	1959						0.466	24.273
DEU	23	1960						0.466	24.646
DEU	23	1961						0.486	25.211
DEU	23	1962						0.490	25.928
DEU	23	1963						0.490	26.697
DEU	23	1964						0.490	27.321
DEU	23	1965						0.490	28.207
DEU	23	1966						0.490	29.203
DEU	23	1967						0.490	29.728
DEU	23	1968						0.490	30.165
DEU	23	1969						0.497	30.742
DEU	23	1970						0.535	31.803
DEU	23	1971						0.558	33.469
DEU	23	1972						0.614	35.305
DEU	23	1973						0.733	37.788
DEU	23	1974						0.757	40.428
DEU	23	1975						0.796	42.817
DEU	23	1976						0.778	44.636
DEU	23	1977						0.844	46.302
DEU	23	1978						0.975	47.561
DEU	23	1979						1.069	49.484
DEU	23	1980						1.078	52.177
DEU	23	1981						0.869	55.487
DEU	23	1982						0.807	58.395
DEU	23	1983						0.768	60.318
DEU	23	1984						0.689	61.770
DEU	23	1985						0.670	63.046
DEU	23	1986						0.904	62.964
DEU	23	1987						1.090	63.122
DEU	23	1988						1.116	63.926
DEU	23	1989						1.042	65.703
DEU	23	1990						1.213	67.475
DEU	23	1991	"14,754"	"16,395"	393	593	"9,712"	1.183	70.206
DEU	23	1992	"15,688"	"16,698"	368	574	"10,546"	1.255	73.756
DEU	23	1993	"16,369"	"17,119"	357	544	"10,937"	1.184	77.056
DEU	23	1994	"17,762"	"18,463"	352	539	"11,291"	1.208	79.132
DEU	23	1995	"18,207"	"18,511"	351	541	"11,462"	1.366	80.482
DEU	23	1996	"17,058"	"17,324"	332	509	"11,152"	1.300	81.648
DEU	23	1997	"16,322"	"16,963"	314	479	"10,722"	1.129	83.232
DEU	23	1998	"16,386"	"17,180"	310	477	"10,815"	1.113	83.990
DEU	23	1999	"16,779"	"17,572"	311	478	"10,941"	1.067	84.482
DEU	23	2000	"16,515"	"17,818"	309	470	"11,189"	0.924	85.699
DEU	23	2001	"15,241"	"16,872"	297	449	"10,911"	0.895	87.399
DEU	23	2002	"14,347"	"16,167"	282	425	"10,333"	0.944	88.641
DEU	23	2003	"13,636"	"16,105"	265	400	"9,877"	1.131	89.557
DEU	23	2004	"13,979"	"16,311"	257	396	"9,753"	1.243	91.049
DEU	23	2005	"13,517"	"16,017"	249	379	"9,650"	1.246	92.458
DEU	23	2006	"14,551"	"17,434"	248	382	"9,637"	1.256	93.916
DEU	23	2007	"15,456"	"17,561"	249	384	"9,468"	1.371	96.075
DEU	23	2008	"14,848"	"17,063"	255	392	"10,256"	1.472	98.600
DEU	23	2009	"13,065"	"13,998"	248	358	"9,723"	1.393	98.908
DEU	23	2010	"14,018"	"15,302"	240	361	"9,775"	1.327	100.000
DEU	23	2011	"15,059"	"16,828"	243	370	"10,194"	1.391	102.075
DEU	23	2012	"15,281"	"16,597"	245	366	"10,464"	1.286	104.125
DEU	23	2013	"15,679"	"16,574"	245	367	"10,637"	1.328	105.692
DEU	23	2014	"16,744"	"17,477"	246	373	"10,899"	1.329	106.651
DEU	23	2015	"16,472"	"16,472"	245	374	"11,129"	1.110	107.199
DEU	23	2016	"17,770"	"17,146"	242	369	"11,251"	1.107	107.726
DEU	23	2017	"17,713"	"17,292"	243	368	"11,429"	1.129	109.352
DEU	23	2018	"17,917"	"17,358"	249	376	"11,896"	1.181	111.247
DEU	24-25	1950						0.467	20.468
DEU	24-25	1951						0.467	22.019
DEU	24-25	1952						0.467	22.484
DEU	24-25	1953						0.466	22.096
DEU	24-25	1954						0.466	22.174
DEU	24-25	1955						0.466	22.484
DEU	24-25	1956						0.466	23.073
DEU	24-25	1957						0.466	23.556
DEU	24-25	1958						0.466	24.057
DEU	24-25	1959						0.466	24.273
DEU	24-25	1960						0.466	24.646
DEU	24-25	1961						0.486	25.211
DEU	24-25	1962						0.490	25.928
DEU	24-25	1963						0.490	26.697
DEU	24-25	1964						0.490	27.321
DEU	24-25	1965						0.490	28.207
DEU	24-25	1966						0.490	29.203
DEU	24-25	1967						0.490	29.728
DEU	24-25	1968						0.490	30.165
DEU	24-25	1969						0.497	30.742
DEU	24-25	1970	"19,546"	"51,807"	"1,686"	"3,192"	"13,134"	0.535	31.803
DEU	24-25	1971	"19,360"	"48,635"	"1,662"	"3,016"	"14,018"	0.558	33.469
DEU	24-25	1972	"19,701"	"48,149"	"1,618"	"2,939"	"14,931"	0.614	35.305
DEU	24-25	1973	"22,426"	"50,938"	"1,637"	"2,993"	"17,100"	0.733	37.788
DEU	24-25	1974	"25,672"	"52,472"	"1,614"	"2,893"	"18,904"	0.757	40.428
DEU	24-25	1975	"25,537"	"51,988"	"1,530"	"2,561"	"18,833"	0.796	42.817
DEU	24-25	1976	"25,700"	"50,429"	"1,449"	"2,507"	"19,698"	0.778	44.636
DEU	24-25	1977	"27,464"	"53,567"	"1,473"	"2,495"	"21,038"	0.844	46.302
DEU	24-25	1978	"28,463"	"53,286"	"1,445"	"2,437"	"22,018"	0.975	47.561
DEU	24-25	1979	"30,417"	"54,727"	"1,446"	"2,460"	"23,728"	1.069	49.484
DEU	24-25	1980	"31,920"	"55,112"	"1,456"	"2,439"	"25,362"	1.078	52.177
DEU	24-25	1981	"31,465"	"52,853"	"1,436"	"2,362"	"26,286"	0.869	55.487
DEU	24-25	1982	"33,450"	"51,374"	"1,401"	"2,236"	"26,840"	0.807	58.395
DEU	24-25	1983	"31,696"	"48,159"	"1,338"	"2,132"	"25,793"	0.768	60.318
DEU	24-25	1984	"33,054"	"49,312"	"1,342"	"2,193"	"27,565"	0.689	61.770
DEU	24-25	1985	"36,598"	"52,806"	"1,358"	"2,157"	"28,960"	0.670	63.046
DEU	24-25	1986	"38,894"	"52,522"	"1,391"	"2,165"	"30,346"	0.904	62.964
DEU	24-25	1987	"37,633"	"49,940"	"1,380"	"2,141"	"30,679"	1.090	63.122
DEU	24-25	1988	"41,185"	"53,169"	"1,373"	"2,149"	"31,825"	1.116	63.926
DEU	24-25	1989	"45,793"	"58,086"	"1,411"	"2,152"	"33,517"	1.042	65.703
DEU	24-25	1990	"48,458"	"60,602"	"1,466"	"2,174"	"36,645"	1.213	67.475
DEU	24-25	1991	"50,594"	"62,539"	"1,478"	"2,175"	"40,790"	1.183	70.206
DEU	24-25	1992	"49,138"	"60,240"	"1,394"	"2,142"	"42,990"	1.255	73.756
DEU	24-25	1993	"46,408"	"58,418"	"1,299"	"1,947"	"41,199"	1.184	77.056
DEU	24-25	1994	"46,788"	"59,861"	"1,225"	"1,857"	"40,970"	1.208	79.132
DEU	24-25	1995	"49,357"	"60,255"	"1,215"	"1,849"	"43,192"	1.366	80.482
DEU	24-25	1996	"47,826"	"58,314"	"1,172"	"1,770"	"42,365"	1.300	81.648
DEU	24-25	1997	"48,804"	"59,891"	"1,149"	"1,734"	"42,233"	1.129	83.232
DEU	24-25	1998	"52,138"	"62,338"	"1,170"	"1,790"	"43,512"	1.113	83.990
DEU	24-25	1999	"51,970"	"63,595"	"1,169"	"1,790"	"43,672"	1.067	84.482
DEU	24-25	2000	"55,376"	"67,010"	"1,167"	"1,765"	"45,415"	0.924	85.699
DEU	24-25	2001	"56,247"	"68,088"	"1,178"	"1,765"	"46,871"	0.895	87.399
DEU	24-25	2002	"53,921"	"65,328"	"1,134"	"1,693"	"44,606"	0.944	88.641
DEU	24-25	2003	"54,522"	"65,351"	"1,118"	"1,670"	"44,277"	1.131	89.557
DEU	24-25	2004	"56,959"	"65,968"	"1,106"	"1,674"	"45,065"	1.243	91.049
DEU	24-25	2005	"60,251"	"65,678"	"1,113"	"1,672"	"45,772"	1.246	92.458
DEU	24-25	2006	"66,492"	"71,406"	"1,097"	"1,662"	"46,760"	1.256	93.916
DEU	24-25	2007	"71,696"	"73,035"	"1,141"	"1,729"	"48,985"	1.371	96.075
DEU	24-25	2008	"72,138"	"72,581"	"1,193"	"1,797"	"51,464"	1.472	98.600
DEU	24-25	2009	"54,469"	"55,167"	"1,135"	"1,569"	"46,387"	1.393	98.908
DEU	24-25	2010	"61,411"	"64,086"	"1,110"	"1,618"	"48,532"	1.327	100.000
DEU	24-25	2011	"69,323"	"72,381"	"1,150"	"1,703"	"51,906"	1.391	102.075
DEU	24-25	2012	"70,535"	"71,733"	"1,170"	"1,703"	"53,624"	1.286	104.125
DEU	24-25	2013	"71,055"	"72,447"	"1,165"	"1,700"	"54,677"	1.328	105.692
DEU	24-25	2014	"72,971"	"74,657"	"1,170"	"1,723"	"56,062"	1.329	106.651
DEU	24-25	2015	"74,389"	"74,389"	"1,172"	"1,736"	"57,265"	1.110	107.199
DEU	24-25	2016	"76,476"	"75,401"	"1,173"	"1,732"	"58,234"	1.107	107.726
DEU	24-25	2017	"76,997"	"76,331"	"1,185"	"1,735"	"59,971"	1.129	109.352
DEU	24-25	2018	"78,419"	"77,123"	"1,207"	"1,767"	"62,452"	1.181	111.247
DEU	24	1950						0.467	20.468
DEU	24	1951						0.467	22.019
DEU	24	1952						0.467	22.484
DEU	24	1953						0.466	22.096
DEU	24	1954						0.466	22.174
DEU	24	1955						0.466	22.484
DEU	24	1956						0.466	23.073
DEU	24	1957						0.466	23.556
DEU	24	1958						0.466	24.057
DEU	24	1959						0.466	24.273
DEU	24	1960						0.466	24.646
DEU	24	1961						0.486	25.211
DEU	24	1962						0.490	25.928
DEU	24	1963						0.490	26.697
DEU	24	1964						0.490	27.321
DEU	24	1965						0.490	28.207
DEU	24	1966						0.490	29.203
DEU	24	1967						0.490	29.728
DEU	24	1968						0.490	30.165
DEU	24	1969						0.497	30.742
DEU	24	1970						0.535	31.803
DEU	24	1971						0.558	33.469
DEU	24	1972						0.614	35.305
DEU	24	1973						0.733	37.788
DEU	24	1974						0.757	40.428
DEU	24	1975						0.796	42.817
DEU	24	1976						0.778	44.636
DEU	24	1977						0.844	46.302
DEU	24	1978						0.975	47.561
DEU	24	1979						1.069	49.484
DEU	24	1980						1.078	52.177
DEU	24	1981						0.869	55.487
DEU	24	1982						0.807	58.395
DEU	24	1983						0.768	60.318
DEU	24	1984						0.689	61.770
DEU	24	1985						0.670	63.046
DEU	24	1986						0.904	62.964
DEU	24	1987						1.090	63.122
DEU	24	1988						1.116	63.926
DEU	24	1989						1.042	65.703
DEU	24	1990						1.213	67.475
DEU	24	1991	"18,208"	"22,743"	490	721	"13,808"	1.183	70.206
DEU	24	1992	"17,362"	"22,747"	432	664	"13,938"	1.255	73.756
DEU	24	1993	"15,103"	"21,464"	378	567	"12,843"	1.184	77.056
DEU	24	1994	"14,863"	"21,069"	342	518	"12,493"	1.208	79.132
DEU	24	1995	"16,734"	"20,963"	324	493	"12,599"	1.366	80.482
DEU	24	1996	"15,368"	"20,851"	306	462	"12,495"	1.300	81.648
DEU	24	1997	"15,556"	"21,472"	295	445	"12,306"	1.129	83.232
DEU	24	1998	"17,374"	"22,534"	295	451	"12,386"	1.113	83.990
DEU	24	1999	"15,605"	"22,730"	282	432	"11,638"	1.067	84.482
DEU	24	2000	"16,910"	"22,403"	282	427	"12,765"	0.924	85.699
DEU	24	2001	"17,210"	"23,528"	288	432	"12,997"	0.895	87.399
DEU	24	2002	"17,228"	"24,330"	283	423	"12,465"	0.944	88.641
DEU	24	2003	"16,964"	"22,853"	270	403	"12,152"	1.131	89.557
DEU	24	2004	"18,715"	"21,708"	269	407	"12,945"	1.243	91.049
DEU	24	2005	"20,290"	"20,748"	265	398	"12,710"	1.246	92.458
DEU	24	2006	"21,930"	"21,138"	263	398	"13,714"	1.256	93.916
DEU	24	2007	"25,590"	"21,740"	269	408	"13,927"	1.371	96.075
DEU	24	2008	"25,115"	"21,738"	281	423	"14,687"	1.472	98.600
DEU	24	2009	"17,531"	"18,337"	270	373	"13,139"	1.393	98.908
DEU	24	2010	"17,355"	"17,788"	259	378	"13,628"	1.327	100.000
DEU	24	2011	"20,247"	"20,028"	266	394	"14,438"	1.391	102.075
DEU	24	2012	"20,993"	"20,758"	269	392	"14,830"	1.286	104.125
DEU	24	2013	"20,279"	"20,870"	268	391	"15,128"	1.328	105.692
DEU	24	2014	"20,571"	"21,510"	270	398	"15,453"	1.329	106.651
DEU	24	2015	"21,111"	"21,111"	268	397	"15,736"	1.110	107.199
DEU	24	2016	"20,668"	"20,478"	266	393	"15,988"	1.107	107.726
DEU	24	2017	"20,612"	"20,254"	267	391	"16,359"	1.129	109.352
DEU	24	2018	"20,811"	"20,294"	270	391	"16,698"	1.181	111.247
DEU	25	1950						0.467	20.468
DEU	25	1951						0.467	22.019
DEU	25	1952						0.467	22.484
DEU	25	1953						0.466	22.096
DEU	25	1954						0.466	22.174
DEU	25	1955						0.466	22.484
DEU	25	1956						0.466	23.073
DEU	25	1957						0.466	23.556
DEU	25	1958						0.466	24.057
DEU	25	1959						0.466	24.273
DEU	25	1960						0.466	24.646
DEU	25	1961						0.486	25.211
DEU	25	1962						0.490	25.928
DEU	25	1963						0.490	26.697
DEU	25	1964						0.490	27.321
DEU	25	1965						0.490	28.207
DEU	25	1966						0.490	29.203
DEU	25	1967						0.490	29.728
DEU	25	1968						0.490	30.165
DEU	25	1969						0.497	30.742
DEU	25	1970						0.535	31.803
DEU	25	1971						0.558	33.469
DEU	25	1972						0.614	35.305
DEU	25	1973						0.733	37.788
DEU	25	1974						0.757	40.428
DEU	25	1975						0.796	42.817
DEU	25	1976						0.778	44.636
DEU	25	1977						0.844	46.302
DEU	25	1978						0.975	47.561
DEU	25	1979						1.069	49.484
DEU	25	1980						1.078	52.177
DEU	25	1981						0.869	55.487
DEU	25	1982						0.807	58.395
DEU	25	1983						0.768	60.318
DEU	25	1984						0.689	61.770
DEU	25	1985						0.670	63.046
DEU	25	1986						0.904	62.964
DEU	25	1987						1.090	63.122
DEU	25	1988						1.116	63.926
DEU	25	1989						1.042	65.703
DEU	25	1990						1.213	67.475
DEU	25	1991	"32,386"	"41,099"	988	"1,454"	"26,981"	1.183	70.206
DEU	25	1992	"31,776"	"38,738"	962	"1,478"	"29,052"	1.255	73.756
DEU	25	1993	"31,305"	"38,120"	921	"1,380"	"28,356"	1.184	77.056
DEU	25	1994	"31,925"	"39,852"	883	"1,339"	"28,478"	1.208	79.132
